"","Name","Age","Height","Gender","Category","Country","Continent","Hand","Medals","HRank","Multiple","Career"
"51","Chow Mei Kuan",26,161,"F","WD","Malaysia","Asia","Right",2,10,"1",210
"52","Chris Adcock",31,183,"M","XD","England","Europe","Left",6,4,"1",468
"53","Chris Langridge",35,176,"M","MD","England","Europe","Right",2,12,"1",485
"54","Christina Pedersen",34,178,"F","XD","Denmark","Europe","Right",16,1,"1",708
"55","Christo Popov",19,179,"M","MD","France","Europe","Left",3,39,"1",239
"56","Daniel Marthin",19,182,"M","MD","Indonesia","Asia","Right",3,42,"1",143
"57","Debby Susanto",31,161,"F","XD","Indonesia","Asia","Right",3,2,"0",255
"58","Dechapol Puavaranukroh",23,169,"M","XD","Thailand","Asia","Right",3,2,"1",314
"59","Della Destiara Haris",28,170,"F","WD","Indonesia","Asia","Right",0,9,"0",207
"60","Delphine Delrue",22,170,"F","XD","France","Europe","Right",2,10,"1",276
"62","Dong Wen Jing",22,170,"F","WD","China","Asia","Right",1,24,"1",30
"63","Du Yue",23,168,"F","WD","China","Asia","Right",12,5,"1",272
"65","Emilie Lefel",32,165,"F","WD","France","Europe","Left",0,18,"1",308
"66","Eom Hye-won",29,164,"F","XD","Korea","Asia","Right",2,5,"1",253
"67","Evgeniya Kosetskaya",26,176,"F","WS","Russia","Europe","Right",0,20,"1",362
"68","Fabienne Deprez",29,171,"F","WS","Germany","Europe","Left",2,45,"1",204
"69","Fajar Alfian",26,177,"M","MD","Indonesia","Asia","Right",3,5,"0",189
"70","Felix Burestedt",26,192,"M","MS","Sweden","Europe","Right",0,56,"0",162
"71","Feng Xue Ying",22,169,"F","WD","China","Asia","Right",1,24,"1",42
"72","Fitriani Fitriani",22,155,"F","WS","Indonesia","Asia","Right",0,20,"0",712
"73","Freja Ravn",21,168,"F","WD","Denmark","Europe","Right",2,26,"0",141
"74","Gabriela Stoeva",26,168,"F","WD","Bulgaria","Europe","Right",4,8,"0",386
"75","Gabrielle Adcock",30,167,"F","XD","England","Europe","Right",5,4,"1",435
"76","Gloria Emanuelle Widjaja",27,182,"F","XD","Indonesia","Asia","Right",1,6,"0",195
"77","Goh Liu Ying",31,166,"F","XD","Malaysia","Asia","Right",4,3,"0",379
"78","Goh Soon Huat",30,178,"M","XD","Malaysia","Asia","Right",0,6,"1",221
"79","Goh Sze Fei",23,171,"M","MD","Malaysia","Asia","Right",0,23,"0",119
"80","Goh V Shem",31,179,"M","MD","Malaysia","Asia","Right",2,1,"0",337
"81","Gregoria Mariska Tunjung",21,166,"F","WS","Indonesia","Asia","Right",1,13,"0",149
"82","Greysia Polii",33,164,"F","WD","Indonesia","Asia","Right",3,2,"1",490
"83","Gronya Somerville",26,170,"F","WD","Australia","Oceania","Right",16,18,"1",284
"84","Hafiz Faizal",26,170,"M","XD","Indonesia","Asia","Right",1,6,"0",202
"85","Han ChengKai",23,183,"M","MD","China","Asia","Right",8,5,"1",140
"86","Hans-Kristian Solberg Vittinghus",35,180,"M","MS","Denmark","Europe","Right",12,8,"0",346
"87","He BingJiao",24,169,"F","WS","China","Asia","Left",8,6,"0",212
"88","He Jiting",23,181,"M","XD","China","Asia","Right",11,8,"1",213
"89","Hendra Setiawan",36,183,"M","MD","Indonesia","Asia","Right",21,1,"0",591
"90","Heo Kwang-hee",25,180,"M","MS","Korea","Asia","Right",2,44,"0",151
"91","Hiroyuki Endo",34,172,"M","MD","Japan","Asia","Right",3,2,"0",380
"92","Hoo Pang Ron",23,178,"M","XD","Malaysia","Asia","Right",0,26,"1",82
"93","Hsu Ya Ching",29,165,"F","WD","Taiwan","Asia","Right",2,17,"1",254
"94","Hu Ling Fang",23,171,"F","WD","Taiwan","Asia","Right",0,28,"1",167
"95","Huang DongPing",26,165,"F","XD","China","Asia","Right",6,1,"1",310
"96","Huang Kai Xiang",25,175,"M","MD","China","Asia","Right",7,10,"1",235
"97","Huang YaQiong",27,165,"F","XD","China","Asia","Right",7,1,"1",423
"98","Huang Yu Xiang",28,180,"M","MS","China","Asia","Right",4,20,"0",1102
"99","Iris Wang",26,160,"F","WS","USA","Pan Am","Right",0,30,"1",235
"100","Isabel Herttrich",29,166,"F","XD","Germany","Europe","Right",2,10,"1",359
"101","Ivan Sozonov",31,184,"M","MD","Russia","Europe","Left",1,7,"1",453
"102","Jan O Jorgensen",33,185,"M","MS","Denmark","Europe","Right",13,2,"0",429
"103","Jason Anthony Ho-Shue",22,182,"M","MD","Canada","Pan Am","Right",14,29,"1",220
"104","Jelle Maas",30,183,"M","MD","Netherlands","Europe","Right",0,26,"1",250
"105","Jessica Pugh",24,165,"F","XD","England","Europe","Right",0,21,"1",245
"106","Jia YiFan",23,170,"F","WD","China","Asia","Left",13,1,"1",276
"107","Joachim Fischer Nielsen",42,193,"M","XD","Denmark","Europe","Left",4,1,"1",571
"108","Jonatan Christie",23,179,"M","MS","Indonesia","Asia","Right",8,4,"0",216
"109","Jones Ralfy Jansen",28,175,"M","MD","Germany","Europe","Right",0,22,"1",235
"110","Jongkholphan Kititharakul",28,171,"F","WD","Thailand","Asia","Right",4,6,"1",258
"111","Josephine Wu",26,169,"F","XD","Canada","Pan Am","Right",12,27,"1",136
"112","Joshua Hurlburt-Yu",26,184,"M","XD","Canada","Pan Am","Right",4,29,"1",104
"113","Julie Dawall Jakobsen",23,171,"F","WS","Denmark","Europe","Right",7,47,"1",259
