Name,Age,Height,Gender,Category,Country,Continent,Hand,Medals,HRank,Multiple,Career
Ng Ka Long Angus,26,181,M,MS,Hong Kong China,Asia,Right,1,6,0,291
Ng Wing Yung,26,163,F,XD,Hong Kong China,Asia,Right,NA,32,1,130
Nguyen Thuy Linh,23,NA,F,WS,Vietnam,Asia,NA,0,41,1,130
Nhat Nguyen,20,NA,M,MS,Ireland,Europe,Right,0,70,1,218
Niclas Nohr,29,185,M,XD,Denmark,Europe,Left,4,16,1,254
Nipitphon Phuangphuapet,30,175,M,XD,Thailand,Asia,Right,0,11,1,293
Nitchaon Jindapol,30,163,F,WS,Thailand,Asia,Right,4,10,0,240
Nozomi Okuhara,26,156,F,WS,Japan,Asia,Right,6,1,0,328
Nur Izzuddin,23,175,M,MD,Malaysia,Asia,Right,0,23,0,71
Nyl Yakura,28,170,M,MD,Canada,Pan Am,Right,19,29,1,181
Ong Yew Sin,26,181,M,MD,Malaysia,Asia,Right,0,14,0,160
Ou Xuan Yi,27,189,M,MD,China,Asia,Right,1,16,1,99
Pablo Abian,35,178,M,MS,Spain,Europe,Right,2,20,0,499
Pai Yu Po,30,173,F,WS,Taiwan,Asia,Right,0,20,1,186
Pearly Tan,21,NA,F,WD,Malaysia,Asia,Right,0,19,1,155
Peter Kaesbauer,33,187,M,MD,Germany,Europe,Right,0,21,1,351
Phataimas Muenwong,25,156,F,WD,Thailand,Asia,Right,1,14,0,139
Phillip Chew,26,172,M,MD,USA,Pan Am,Right,2,20,1,270
Phittayaporn Chaiwan ,20,164,F,WS,Thailand,Asia,Right,2,28,0,227
Pitha Haningtyas Mentari,21,NA,F,XD,Indonesia,Asia,Right,1,16,1,116
Pornpawee Chochuwong,23,170,F,WS,Thailand,Asia,Right,2,10,0,205
Porntip Buranaprasertsuk,29,165,F,WS,Thailand,Asia,Right,2,8,0,299
Pramudya Kusumawardana,20,175,M,MD,Indonesia,Asia,Right,0,44,1,82
Praveen Jordan,27,181,M,XD,Indonesia,Asia,Right,4,2,0,266
Pusarla Venkata Sindhu,25,179,F,WS,India,Asia,Right,5,2,0,359
Puttita Supajirakul,25,183,F,WD,Thailand,Asia,Right,3,9,1,226
Qi Xuefei,29,NA,F,WS,France,Europe,Right,0,39,0,814
Rachel Honderich,25,175,F,WD,Canada,Pan Am,Right,7,22,1,226
Rasmus Gemke,24,185,M,MS,Denmark,Europe,Right,3,12,0,129
Ratchanok Intanon,26,169,F,WS,Thailand,Asia,Right,8,1,0,412
Rawinda Prajongjai,27,164,F,WD,Thailand,Asia,Right,4,6,1,214
Ribka Sugiarto,21,160,F,WD,Indonesia,Asia,Right,1,32,0,136
Rinov Rivaldy,21,170,M,XD,Indonesia,Asia,Right,2,16,1,188
Rizki Amelia Pradipta,30,171,F,WD,Indonesia,Asia,Right,0,6,0,208
Robin Tabeling,27,180,M,XD,Netherlands,Europe,Right,0,14,1,255
Rodion Alimov,23,185,M,XD,Russia,Europe,Right,1,24,1,350
Ronan Labar,32,191,M,XD,France,Europe,Right,0,20,1,377
Ruben Jille,24,178,M,MD,Netherlands,Europe,Right,0,36,1,245
Ruselli Hartawan,23,160,F,WS,Indonesia,Asia,Right,0,34,0,133
